Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Andesite	Amphibole	65	Tb	2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	70	Yb	2.1				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	71	Lu	2.1				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	72	Hf	.54				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	73	Ta	.59				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	90	Th	.16				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	21	Sc	14				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	24	Cr	40				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	27	Co	37				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	30	Zn	2.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	37	Rb	.4				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	38	Sr	.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	40	Zr	.5				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	55	Cs	.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	56	Ba	.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	57	La	.36				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	58	Ce	.68				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	60	Nd	1.6				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	62	Sm	2.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	63	Eu	3.2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	65	Tb	2.4				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	70	Yb	1.8				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	71	Lu	1.8				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	72	Hf	.52				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	73	Ta	.43				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Amphibole	90	Th	.16				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Alkali Olivine Basalt	Kaersutite, Amphibole	39	Y	.873				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	57	La	.116				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	58	Ce	.185				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	59	Pr	.277				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	60	Nd	.396				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
Alkali Olivine Basalt	Kaersutite, Amphibole	62	Sm	.651				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008
